year,month,ndvi
2020,1,0.2994399189432133
2020,2,0.24900535619877412
2020,3,0.21194778212304016
2020,4,0.26602006562358516
2020,5,0.3849551597624735
2020,6,0.39229094626065053
2020,7,0.23547129224617658
2020,8,0.5650162592490666
2020,9,0.5267125829076235
2020,10,0.546408776801948
2020,11,0.40256951919443934
2020,12,0.3228708997696833
2021,1,0.26691991347466565
2021,2,0.23420982579583166
2021,3,0.23604361950310526
2021,4,0.20373896463263205
2021,5,0.35947912252533376
2021,6,0.3204925122601537
2021,7,0.5267147504539799
2021,8,0.40027360364869463
2021,9,0.5353413198224902
2021,10,0.5580748039391915
2021,11,0.40375068168511996
2021,12,0.31213748559903476
2022,1,0.2592854763631166
2022,2,0.22496840904878998
2022,3,0.2121220262768417
2022,4,0.19913930224680654
2022,5,0.2369647366755925
2022,6,0.22202685731732869
2022,7,0.3533516939381875
2022,10,0.5414926975041727
2022,11,0.429793107996395
2022,12,0.3538084808829771
2023,1,0.28171205984649544
2023,2,0.23660467508401728
2023,3,0.3122618500293722
2023,4,0.2669097613468689
2023,5,0.4019418141202027
2023,6,0.3796017985408445
2023,7,0.36264679546127276
2023,8,0.5055986514517428
2023,9,0.5799799830571939
2023,10,0.5579076489654596
2023,11,0.41532792862557083
2023,12,0.3201023794246303
2024,1,0.2633119781527184
2024,2,0.27587070120078144
2024,3,0.3247685763521203
2024,4,0.3161493956837722
2024,5,0.3716083895208043
2024,6,0.3124405413305888
2024,7,0.31768285031715915
2024,9,0.6134662094398419
2024,10,0.5539485400259758
2024,11,0.459772296697004
2024,12,0.34081810831032266
2025,1,0.27142222271898314
2025,2,0.23877085620556215
2025,3,0.21685115600650048
2025,4,0.28583857437706384
2025,5,0.3195934765178697
