year,month,ndvi
2020,1,0.5198557330982057
2020,2,0.605699556617847
2020,3,0.6453172385629211
2020,4,0.39201080194847027
2020,5,0.25451936723795265
2020,6,0.20430020283045444
2020,7,0.22468142494080115
2020,8,0.4315586291840501
2020,9,0.587770110545325
2020,10,0.393444644320806
2020,11,0.24147253993752688
2020,12,0.3178676558222902
2021,1,0.5287311322784137
2021,2,0.5386073219184686
2021,3,0.5803007061573533
2021,4,0.32518535444647273
2021,5,0.21573543722617186
2021,6,0.17241780707155746
2021,7,0.1913540571359345
2021,8,0.45210278519995517
2021,9,0.5760201878734353
2021,10,0.43984824863158284
2021,11,0.20425159040636612
2021,12,0.2867363776030719
2022,1,0.524423135807702
2022,2,0.630136135350312
2022,3,0.6335650459251169
2022,4,0.3051015227847621
2022,5,0.21461028098897542
2022,6,0.20872233066310175
2022,8,0.49771576244505744
2022,9,0.5641599795509489
2022,10,0.44676508591566755
2022,11,0.2775258220303044
2022,12,0.37843800823928814
2023,1,0.566328055410291
2023,2,0.627139358665859
2023,3,0.6438390478570283
2023,4,0.3371990150811778
2023,5,0.24211377637323656
2023,6,0.2353293612416202
2023,7,0.30915438163553854
2023,8,0.49882037890550807
2023,9,0.5936342329652065
2023,10,0.44518641570147116
2023,11,0.2398341357613709
2023,12,0.3443592168795467
2024,1,0.45936728252959635
2024,2,0.633385781699893
2024,3,0.6495346182810767
2024,4,0.3398573698059128
2024,5,0.2081129222307537
2024,6,0.190259367847531
2024,7,0.26703608886327335
2024,8,0.5423361122872893
2024,9,0.5970067874574857
2024,10,0.44419217986759185
2024,11,0.24487107206432043
2024,12,0.3656822349555567
2025,1,0.5918525103217775
2025,2,0.6466933277174148
2025,3,0.6423374429385696
2025,4,0.3072549018393162
2025,5,0.20466062075745736
