year,month,ndvi
2020,1,0.6652728784881988
2020,2,0.6473345663477207
2020,3,0.5732724750704661
2020,4,0.5179152828000709
2020,5,0.5801548584761951
2020,6,0.5578550092330499
2020,8,0.7471214274588236
2020,9,0.7057481457021186
2020,10,0.5960871005141858
2020,11,0.7337482670739988
2020,12,0.6395201656520114
2021,1,0.6335336190115098
2021,2,0.6287418531718459
2021,3,0.48910469489052427
2021,4,0.5202798496192579
2021,5,0.5112061850638557
2021,8,0.6833441452231049
2021,9,0.7263404970535123
2021,11,0.7192355664112743
2021,12,0.6760620683486885
2022,1,0.6665369672093046
2022,2,0.6382344803890826
2022,3,0.6174222850450449
2022,4,0.56868307498486
2022,7,0.6039857758399942
2022,10,0.6904594164307973
2022,11,0.726884297817249
2022,12,0.7099789608966026
2023,1,0.6420991715333793
2023,2,0.6125344814864313
2023,3,0.5626164869240333
2023,4,0.5508648764360161
2023,5,0.4866719660047541
2023,7,0.6993999384014865
2023,11,0.5680166738128752
2023,12,0.6906401459334219
2024,1,0.7119277916450992
2024,2,0.6723096883860283
2024,3,0.6061194379058747
2024,4,0.553209782022425
2024,8,0.7202973184885397
2024,10,0.7368140278837424
2024,11,0.7605219411025282
2024,12,0.7045110321187784
2025,1,0.655193124984087
2025,2,0.6480976483111318
2025,3,0.5408539960832137
2025,4,0.5378137753858964
