year,month,ndvi
2020,1,0.4247208625023354
2020,2,0.3758053036077683
2020,3,0.2713717241485933
2020,4,0.21538680201478239
2020,5,0.1795618200986217
2020,6,0.2109264504805241
2020,9,0.5598208748016648
2020,10,0.46303056024679295
2020,11,0.3923134918867473
2020,12,0.415477423595175
2021,1,0.42403279616994055
2021,2,0.3424160355918106
2021,3,0.24216159004418084
2021,4,0.20703613214309752
2021,5,0.18991450117302736
2021,6,0.1599756636476705
2021,7,0.23279692708639219
2021,10,0.47295194704352483
2021,11,0.37574900084458074
2021,12,0.3983425701689469
2022,1,0.46292510208184445
2022,2,0.3965012683265269
2022,3,0.23857825803985164
2022,4,0.20914005779767422
2022,5,0.1691521879624393
2022,6,0.14971246358665447
2022,9,0.5786599229510784
2022,10,0.47589730639410127
2022,11,0.3846786380998538
2022,12,0.39904820051331313
2023,1,0.4120115034523396
2023,2,0.3340262802020344
2023,3,0.22901855992690456
2023,4,0.20083992142943463
2023,5,0.1732798971410852
2023,6,0.1556864250672922
2023,9,0.4895543615318895
2023,10,0.500759746596293
2023,11,0.38740599050364055
2023,12,0.37587435634159255
2024,1,0.38694543741039467
2024,2,0.335855754149828
2024,3,0.2088256019011471
2024,4,0.17888646831594296
2024,5,0.16829134583126779
2024,6,0.13827235429897872
2024,10,0.5495653093985626
2024,11,0.41779502965457277
2024,12,0.4027989967585379
2025,1,0.477621412887674
2025,2,0.4151464097029127
2025,3,0.24308140701315592
2025,4,0.2129794730038392
2025,5,0.20962927367551082
