year,month,ndvi
2020,1,0.18152583642694967
2020,2,0.21397780636301672
2020,3,0.29582021685546184
2020,4,0.3723058576243168
2020,5,0.4422735723612618
2020,6,0.48406014347361626
2020,7,0.5849417443259367
2020,8,0.6418352642275781
2020,9,0.5729115546534392
2020,10,0.3968965205892648
2020,11,0.27162938328949066
2020,12,0.25647757925814396
2021,1,0.277305889817455
2021,2,0.3619358653899998
2021,3,0.3470584603380466
2021,4,0.3994129428450556
2021,5,0.39425567762883384
2021,6,0.44931752647598994
2021,7,0.5468645872843706
2021,8,0.6132239216761655
2021,9,0.5829106189646319
2021,10,0.46910374218113116
2021,11,0.30736398448295243
2021,12,0.3391905251439224
2022,1,0.358181364764913
2022,2,0.34302010973392566
2022,3,0.33236688760208927
2022,4,0.3394596599588092
2022,5,0.4269100167055324
2022,6,0.4891460359382418
2022,7,0.5461143659512248
2022,8,0.5581337674022444
2022,9,0.5667365137852001
2022,10,0.5946105242738672
2022,11,0.36117277038474366
2022,12,0.3520127752610555
2023,1,0.31720113570420055
2023,2,0.3358463536065867
2023,3,0.31391604780682086
2023,4,0.3304552012447858
2023,5,0.33348084379814524
2023,6,0.3577955901141365
2023,7,0.4268699397036731
2023,8,0.47036882491038995
2023,9,0.43209372146091696
2023,10,0.29007534034563204
2023,11,0.2472119155871354
2023,12,0.2658241595037082
2024,1,0.3579556947995518
2024,2,0.36074074310244164
2024,3,0.3197921421453917
2024,4,0.3578764917359677
2024,5,0.4497056172938992
2024,6,0.5472203514044843
2024,7,0.6183044571328346
2024,8,0.6436748004499029
2024,9,0.6244090214754451
2024,10,0.49824805241992676
2024,11,0.2804225491001157
2024,12,0.3053972173330039
2025,1,0.2842012027548043
2025,2,0.2770166439744824
2025,3,0.2811314873336996
2025,4,0.3225138465729034
2025,5,0.31724295585893697
