year,month,ndvi
2020,1,0.20973544896479362
2020,2,0.01574039839689508
2020,3,0.14493595219121336
2020,4,0.2189854255682572
2020,5,0.24739394963597783
2020,6,0.3955251348571887
2020,7,0.7985284651283899
2020,8,0.7890987135200992
2020,9,0.4731500209658002
2020,10,0.28170385336146664
2020,11,0.21887412883669694
2020,12,0.17917766818841152
2021,1,0.02393994863273109
2021,2,-0.005549889528212124
2021,3,0.12620126699038803
2021,4,0.20296642019681502
2021,5,0.2717585083666876
2021,6,0.4821498309714665
2021,7,0.7656649478776546
2021,8,0.7970228816126486
2021,9,0.5955484523964931
2021,10,0.2954728373223639
2021,11,0.2293544679609684
2021,12,0.20728392180928068
2022,1,0.009016672540980012
2022,2,0.09148109333066863
2022,3,0.18363148467866536
2022,4,0.2042004726632621
2022,5,0.24027796224616335
2022,6,0.4555486178853649
2022,7,0.7941836646569539
2022,8,0.8405422493245054
2022,9,0.7736845718814342
2022,10,0.2852920670732839
2022,11,0.13935360063192725
2022,12,0.12458907009790395
2023,1,0.007976559285014274
2023,2,0.033867005672063126
2023,3,0.14865579800033768
2023,4,0.20421478654905065
2023,5,0.2799040858035481
2023,6,0.5508258320972838
2023,7,0.7849229326133015
2023,8,0.8155230084186915
2023,9,0.5876344083514387
2023,10,0.23118285178356118
2023,11,0.22560406103968972
2023,12,0.21921281033567286
2024,1,0.02328901596913425
2024,2,0.20806507947518588
2024,3,0.20496980813062193
2024,4,0.22101643928853318
2024,5,0.29377583681573727
2024,6,0.452106813013956
2024,7,0.7746055558250347
2024,8,0.8317725799299871
2024,9,0.5974832528066668
2024,10,0.2745432450104517
2024,11,0.19593678087177005
2024,12,0.19915845278815558
2025,1,0.1523565977355779
2025,2,0.14011592405944595
2025,3,0.11880117443117698
2025,4,0.2079316782826435
2025,5,0.26684881719715037
