year,month,ndvi
2020,1,0.3320485986115801
2020,2,0.3703408104329848
2020,3,0.422458442020613
2020,4,0.5000650217764224
2020,5,0.3242059331574538
2020,6,0.15754519974446682
2020,7,0.17853453285200155
2020,8,0.2884560255972305
2020,9,0.28952742945193055
2020,10,0.2482278157608329
2020,11,0.2225403915722105
2020,12,0.24552736289293386
2021,1,0.27104561623342716
2021,2,0.32352345282336104
2021,3,0.34021979599844815
2021,4,0.3352946074474738
2021,5,0.22981644289448436
2021,6,0.16315795846966202
2021,7,0.22080077253696384
2021,8,0.3064407223822142
2021,9,0.30193315101719964
2021,10,0.22855418531909238
2021,11,0.16009387944615472
2021,12,0.16265360686697963
2022,1,0.19906796654298806
2022,2,0.1679981509997907
2022,4,0.27312776072754835
2022,5,0.24660748036040137
2022,6,0.15349640322722136
2022,7,0.22842645262633163
2022,8,0.3214034814107915
2022,9,0.3235035946567127
2022,10,0.2664429023711146
2022,11,0.22265594739901345
2022,12,0.21976477836581296
2023,1,0.26507486603326574
2023,2,0.29745847737075576
2023,4,0.4572392377141644
2023,5,0.3590207492983041
2023,6,0.16545725195753033
2023,7,0.2057258898559844
2023,8,0.32091326006416515
2023,9,0.33642729405329197
2023,10,0.2838297871019792
2023,11,0.2102902605187319
2023,12,0.21401991136456228
2024,1,0.3118908160489338
2024,2,0.3739594870853356
2024,3,0.46119050695598424
2024,4,0.46027204199428245
2024,5,0.2335324803378399
2024,6,0.16332189975889952
2024,7,0.2230396811122131
2024,8,0.2898032205932802
2024,9,0.3005293823137944
2024,10,0.2501281972085757
2024,11,0.18298885368622894
2024,12,0.16035551373983595
2025,1,0.19078265919306034
2025,2,0.23567413590947475
2025,3,0.2682432017281018
2025,4,0.3345589631583093
2025,5,0.294652110237658
