year,month,ndvi
2020,1,0.1735479484661556
2020,2,0.16673564352046388
2020,3,0.15582661783977608
2020,4,0.15509736621757786
2020,5,0.14486584366874722
2020,6,0.15784687939434142
2020,7,0.2859406705141372
2020,8,0.46074702447013094
2020,9,0.4825824273157684
2020,10,0.4751880208859983
2020,11,0.2869989309066847
2020,12,0.23932243883254958
2021,1,0.205566873879624
2021,2,0.17985360366902856
2021,3,0.1550704889476425
2021,4,0.1642675112699931
2021,5,0.1576916316721808
2021,6,0.15424383783048212
2021,7,0.24713317415766425
2021,8,0.46203289717722074
2021,9,0.5057412510485424
2021,10,0.4189605759198247
2021,11,0.2742867536598755
2021,12,0.18421725338834
2022,1,0.183674618130224
2022,2,0.16433771769512368
2022,3,0.16601972911621884
2022,4,0.15272045358064065
2022,5,0.14384476656337025
2022,6,0.17027060440966293
2022,7,0.28764099582725683
2022,8,0.42961865881624534
2022,9,0.5428164208574547
2022,10,0.49512839485720855
2022,11,0.2919614898925054
2022,12,0.22906566529966835
2023,1,0.1921110334382961
2023,2,0.17598551496706577
2023,3,0.1685827881712504
2023,4,0.15647388229324333
2023,5,0.16907401583111606
2023,6,0.18999535891983477
2023,7,0.3178425436139934
2023,8,0.5304894964201394
2023,9,0.5017632354860325
2023,10,0.44079293089446386
2023,11,0.2872005217574311
2023,12,0.21241906183580625
2024,1,0.20751632757278018
2024,2,0.16374482643760513
2024,3,0.16974089126862713
2024,4,0.16357206352299436
2024,5,0.15302225491407725
2024,6,0.15900665853837773
2024,7,0.31172563858872515
2024,9,0.5232185947851463
2024,10,0.4801537128342993
2024,11,0.3039398592266677
2024,12,0.2299734974099861
2025,1,0.19853768594510016
2025,2,0.1860010260432179
2025,3,0.184050927840589
2025,4,0.17247742061747437
2025,5,0.1604207773337606
